Age,Sex,L,M,S,T,Percentiles_3,Percentiles_5,Percentiles_10,Percentiles_25,Percentiles_50,Percentiles_75,Percentiles_90,Percentiles_95,Percentiles_97
73,M,0.64,10068,0.25,2.33,5212,5841,6788,8335,10068,11916,13792,15070,15986
74,M,0.64,9895,0.25,2.31,5108,5730,6665,8190,9895,11715,13564,14826,15732
75,M,0.64,9720,0.25,2.29,5003,5617,6540,8042,9720,11510,13332,14578,15474
76,M,0.64,9542,0.26,2.27,4897,5504,6413,7892,9542,11302,13097,14327,15212
77,M,0.64,9361,0.26,2.25,4791,5389,6285,7740,9361,11091,12857,14070,14945
78,M,0.64,9176,0.26,2.23,4683,5273,6155,7585,9176,10875,12613,13809,14673
79,M,0.64,8989,0.26,2.21,4574,5155,6023,7427,8989,10656,12364,13543,14396
80,M,0.64,8799,0.26,2.19,4465,5036,5890,7268,8799,10434,12112,13273,14115
20,F,0.46,14034,0.22,2.46,8377,9085,10164,11966,14034,16282,18591,20172,21306
21,F,0.46,14090,0.22,2.46,8396,9109,10196,12010,14090,16350,18670,20258,21397
22,F,0.46,14147,0.22,2.46,8415,9134,10229,12054,14147,16420,18752,20347,21491
23,F,0.47,14207,0.22,2.46,8435,9159,10262,12101,14207,16494,18838,20441,21590
24,F,0.47,14270,0.22,2.46,8456,9186,10297,12149,14270,16570,18927,20538,21693
25,F,0.48,14333,0.22,2.46,8477,9213,10333,12199,14333,16648,19018,20638,21798
26,F,0.48,14397,0.22,2.45,8497,9239,10368,12248,14397,16726,19109,20738,21904
27,F,0.49,14459,0.22,2.45,8516,9264,10402,12295,14459,16802,19199,20836,22009
28,F,0.49,14519,0.22,2.45,8534,9287,10434,12341,14519,16876,19286,20931,22109
29,F,0.5,14574,0.22,2.45,8549,9308,10463,12383,14574,16945,19367,21020,22203
30,F,0.5,14625,0.23,2.45,8561,9326,10489,12421,14625,17008,19442,21101,22289
31,F,0.51,14670,0.23,2.45,8570,9340,10511,12454,14670,17064,19508,21173,22365
32,F,0.51,14709,0.23,2.45,8577,9352,10529,12483,14709,17113,19565,21235,22430
33,F,0.52,14741,0.23,2.45,8582,9360,10543,12505,14741,17153,19612,21286,22483
34,F,0.52,14766,0.23,2.46,8583,9364,10552,12522,14766,17184,19648,21324,22521
35,F,0.53,14781,0.23,2.46,8580,9365,10556,12532,14781,17205,19671,21347,22544
36,F,0.53,14788,0.23,2.47,8574,9360,10554,12534,14788,17214,19680,21354,22549
37,F,0.54,14783,0.23,2.47,8564,9350,10546,12528,14783,17210,19674,21344,22535
38,F,0.54,14768,0.23,2.48,8549,9335,10530,12513,14768,17192,19651,21316,22501
39,F,0.55,14741,0.23,2.5,8529,9314,10508,12489,14741,17161,19612,21269,22448
40,F,0.55,14705,0.23,2.51,8506,9289,10480,12457,14705,17119,19560,21208,22378
41,F,0.56,14664,0.23,2.52,8480,9261,10449,12421,14664,17070,19499,21136,22298
42,F,0.56,14619,0.23,2.54,8454,9232,10416,12382,14619,17016,19433,21058,22210
43,F,0.57,14571,0.23,2.56,8427,9202,10381,12341,14571,16959,19362,20976,22117
44,F,0.57,14522,0.23,2.58,8400,9171,10345,12299,14522,16901,19291,20891,22022
45,F,0.58,14472,0.23,2.6,8371,9138,10308,12255,14472,16842,19219,20807,21927
46,F,0.58,14421,0.23,2.63,8342,9105,10270,12211,14421,16784,19147,20723,21832
47,F,0.59,14371,0.23,2.66,8312,9072,10231,12166,14371,16725,19076,20640,21739
48,F,0.59,14320,0.23,2.69,8281,9037,10191,12121,14320,16668,19007,20559,21647
49,F,0.6,14268,0.23,2.72,8248,9000,10150,12074,14269,16609,18937,20477,21555
50,F,0.6,14214,0.23,2.75,8212,8960,10105,12024,14214,16549,18865,20394,21462
51,F,0.61,14157,0.23,2.79,8173,8916,10057,11970,14157,16486,18791,20309,21367
